contrast,estimate,SE,df,t.ratio,p.value
ALL B700 A_Wet - ALL A200 B_Dry,0.03329513181030552,NA,1051,NA,NA
ALL B700 A_Wet - ANT A200 B_Dry,-0.007869107444930148,NA,1051,NA,NA
ALL B700 A_Wet - CN1 A200 B_Dry,-0.03252217647704178,NA,1051,NA,NA
ALL B700 A_Wet - VER A200 B_Dry,0.03920244995143234,NA,1051,NA,NA
ALL B700 A_Wet - ALL B700 B_Dry,0.01386072206765221,NA,1051,NA,NA
ALL B700 A_Wet - ANT B700 B_Dry,-0.01733780369954784,NA,1051,NA,NA
ALL B700 A_Wet - CN1 B700 B_Dry,-0.011561128940748532,NA,1051,NA,NA
ALL B700 A_Wet - VER B700 B_Dry,0.02688839162368335,NA,1051,NA,NA
ALL B700 A_Wet - ALL C1200 B_Dry,0.02074749103814807,NA,1051,NA,NA
ALL B700 A_Wet - ANT C1200 B_Dry,-0.06740308217278283,NA,1051,NA,NA
ALL B700 A_Wet - CN1 C1200 B_Dry,-0.044481868203114304,NA,1051,NA,NA
ALL B700 A_Wet - VER C1200 B_Dry,0.014146513837148064,NA,1051,NA,NA
ALL B700 A_Wet - ALL D1700 B_Dry,0.011451621484511142,NA,1051,NA,NA
ALL B700 A_Wet - ANT D1700 B_Dry,-0.014904625736968692,NA,1051,NA,NA
ALL B700 A_Wet - CN1 D1700 B_Dry,-0.03182936522074081,NA,1051,NA,NA
ALL B700 A_Wet - VER D1700 B_Dry,0.02491629172455699,NA,1051,NA,NA
ALL B700 A_Wet - ALL E2200 B_Dry,-0.03312446890557962,NA,1051,NA,NA
ALL B700 A_Wet - ANT E2200 B_Dry,-0.07174982578367306,NA,1051,NA,NA
ALL B700 A_Wet - CN1 E2200 B_Dry,-0.10319740442118293,NA,1051,NA,NA
ALL B700 A_Wet - VER E2200 B_Dry,-0.12221594076123304,NA,1051,NA,NA
ALL B700 A_Wet - ALL F2700 B_Dry,0.015679834843897785,NA,1051,NA,NA
ALL B700 A_Wet - ANT F2700 B_Dry,-0.07343676381775109,NA,1051,NA,NA
ALL B700 A_Wet - CN1 F2700 B_Dry,-0.03576854431317105,NA,1051,NA,NA
ALL B700 A_Wet - VER F2700 B_Dry,0.007847011492415073,NA,1051,NA,NA
